borough,zip_code
Bronx,10453
Bronx,10457
Bronx,10460
Bronx,10458
Bronx,10467
Bronx,10468
Bronx,10451
Bronx,10452
Bronx,10456
Bronx,10454
Bronx,10455
Bronx,10459
Bronx,10474
Bronx,10463
Bronx,10471
Bronx,10466
Bronx,10469
Bronx,10470
Bronx,10475
Bronx,10461
Bronx,10462
Bronx,10464
Bronx,10465
Bronx,10472
Bronx,10473
Brooklyn,11212
Brooklyn,11213
Brooklyn,11216
Brooklyn,11233
Brooklyn,11238
Brooklyn,11209
Brooklyn,11214
Brooklyn,11228
Brooklyn,11204
Brooklyn,11218
Brooklyn,11219
Brooklyn,11230
Brooklyn,11234
Brooklyn,11236
Brooklyn,11239
Brooklyn,11223
Brooklyn,11224
Brooklyn,11229
Brooklyn,11235
Brooklyn,11201
Brooklyn,11205
Brooklyn,11215
Brooklyn,11217
Brooklyn,11231
Brooklyn,11203
Brooklyn,11210
Brooklyn,11225
Brooklyn,11226
Brooklyn,11207
Brooklyn,11208
Brooklyn,11211
Brooklyn,11222
Brooklyn,11220
Brooklyn,11232
Brooklyn,11206
Brooklyn,11221
Brooklyn,11237
Manhattan,10026
Manhattan,10027
Manhattan,10030
Manhattan,10037
Manhattan,10039
Manhattan,10001
Manhattan,10011
Manhattan,10018
Manhattan,10019
Manhattan,10020
Manhattan,10036
Manhattan,10029
Manhattan,10035
Manhattan,10010
Manhattan,10016
Manhattan,10017
Manhattan,10022
Manhattan,10012
Manhattan,10013
Manhattan,10014
Manhattan,10004
Manhattan,10005
Manhattan,10006
Manhattan,10007
Manhattan,10038
Manhattan,10280
Manhattan,10002
Manhattan,10003
Manhattan,10009
Manhattan,10021
Manhattan,10028
Manhattan,10044
Manhattan,10065
Manhattan,10075
Manhattan,10128
Manhattan,10023
Manhattan,10024
Manhattan,10025
Manhattan,10031
Manhattan,10032
Manhattan,10033
Manhattan,10034
Manhattan,10040
Staten Island,10302
Staten Island,10303
Staten Island,10310
Staten Island,10306
Staten Island,10307
Staten Island,10308
Staten Island,10309
Staten Island,10312
Staten Island,10301
Staten Island,10304
Staten Island,10305
Staten Island,10314
